Role;Seniority;Specialization;Skill;Proficiency
Software Developer;Lead;JavaScript (Angular, React etc.);Webpack;4
Software Developer;Senior;SQL (MySQL, T-SQL, Teradata etc.);Atlassian Jira;3
Software Developer;Senior;SQL (MySQL, T-SQL, Teradata etc.);Git;3
Software Developer;Senior;SQL (MySQL, T-SQL, Teradata etc.);Microsoft Transact-SQL;4
Software Developer;Senior;SQL (MySQL, T-SQL, Teradata etc.);SQL;4
SL2 Technical Support Engineer;Regular;Technical Support (SL2);Active Directory;3
SL2 Technical Support Engineer;Regular;Technical Support (SL2);Atlassian Confluence;3
SL2 Technical Support Engineer;Regular;Technical Support (SL2);Atlassian Jira;3
SL2 Technical Support Engineer;Regular;Technical Support (SL2);Elastic Kibana;3
SL2 Technical Support Engineer;Regular;Technical Support (SL2);Grafana;3
SL2 Technical Support Engineer;Regular;Technical Support (SL2);Helpdesk;3
SL2 Technical Support Engineer;Regular;Technical Support (SL2);Service Desk;3
SL2 Technical Support Engineer;Regular;Technical Support (SL2);SQL;3
SL2 Technical Support Engineer;Regular;Technical Support (SL2);Zabbix;3
Business Analyst;Regular;Business Analysis;Atlassian Confluence;3
Business Analyst;Regular;Business Analysis;Atlassian Jira;3
Team Lead;Senior;Java;Apache Kafka;3
Team Lead;Senior;Java;Apache Maven;3
Team Lead;Senior;Java;Docker;3
Team Lead;Senior;Java;Git;3
Team Lead;Senior;Java;Hibernate;3
Team Lead;Senior;Java;Java;5
Team Lead;Senior;Java;JavaScript;3
Team Lead;Senior;Java;JUnit;3
Team Lead;Senior;Java;JUnit;5
Team Lead;Senior;Java;OpenShift;3
Team Lead;Senior;Java;Oracle;3
Team Lead;Senior;Java;PostgreSQL;3
Team Lead;Senior;Java;RabbitMQ;3
Team Lead;Senior;Java;REST;3
Team Lead;Senior;Java;Spring Boot;3
Team Lead;Senior;Java;Spring Data;3
Team Lead;Senior;Java;Spring Framework;4
Team Lead;Senior;Java;SQL;4
Application Engineer;Regular;DevOps;Ansible;3
Application Engineer;Regular;DevOps;Docker;3
Application Engineer;Regular;DevOps;Git;3
Application Engineer;Regular;DevOps;Grafana;3
Application Engineer;Regular;DevOps;Linux;3
Application Engineer;Regular;DevOps;Nginx;3
Application Engineer;Regular;DevOps;Prometheus;3
Business Analyst;Senior;Business Analysis;Atlassian Jira;3
Business Analyst;Senior;Business Analysis;Business Process Modeling Notation (BPMN);3
Designer;Senior;UI/UX Design;Adobe Illustrator;3
Designer;Senior;UI/UX Design;Adobe Illustrator;4
Designer;Senior;UI/UX Design;Adobe Photoshop;3
Designer;Senior;UI/UX Design;Adobe Photoshop;4
Designer;Senior;UI/UX Design;Adobe Photoshop;5
Designer;Senior;UI/UX Design;Figma;4
Designer;Senior;UI/UX Design;Figma;5
Designer;Senior;UI/UX Design;UI/UX Design;3
