Role;Seniority;Specialization;Skill;Proficiency
Test Engineer;Lead;QA Automation;Jenkins;3
Test Engineer;Lead;QA Automation;Jenkins;4
Test Engineer;Lead;QA Automation;JUnit 5;3
Test Engineer;Lead;QA Automation;Linux;3
Test Engineer;Lead;QA Automation;Linux;4
Test Engineer;Lead;QA Automation;Manual Testing;5
Test Engineer;Lead;QA Automation;Microsoft SQL Server;3
Test Engineer;Lead;QA Automation;PostgreSQL;3
Test Engineer;Lead;QA Automation;Python;4
Test Engineer;Lead;QA Automation;RabbitMQ;3
Test Engineer;Lead;QA Automation;Regression Testing;3
Test Engineer;Lead;QA Automation;Selenium;4
Test Engineer;Lead;QA Automation;Selenium WebDriver;3
Test Engineer;Lead;QA Automation;Selenium WebDriver;4
Test Engineer;Lead;QA Automation;Spring Boot;3
Test Engineer;Lead;QA Automation;SQL;3
Test Engineer;Lead;QA Automation;TeamCity;3
Test Engineer;Lead;QA Automation;Test design;4
Account Manager;Regular;Account Management;Microsoft Word;3
Account Manager;Regular;Account Management;Microsoft Word;5
Functional/System Analyst;Junior;Functional/System Analysis;DBeaver;3
Functional/System Analyst;Junior;Functional/System Analysis;Figma;3
Functional/System Analyst;Junior;Functional/System Analysis;Groovy;3
Functional/System Analyst;Junior;Functional/System Analysis;JSON Schema;3
Functional/System Analyst;Junior;Functional/System Analysis;Manual Testing;3
Functional/System Analyst;Junior;Functional/System Analysis;Postman;3
Functional/System Analyst;Junior;Functional/System Analysis;XML Schema Definition (XSD);3
Platform Engineer;Senior;DevOps;Atlassian BitBucket;3
Platform Engineer;Senior;DevOps;Atlassian Confluence;3
Platform Engineer;Senior;DevOps;Atlassian Confluence;4
Platform Engineer;Senior;DevOps;Atlassian Jira;3
Platform Engineer;Senior;DevOps;Atlassian Jira;4
Platform Engineer;Senior;DevOps;CI/CD;3
Platform Engineer;Senior;DevOps;CI/CD;4
Platform Engineer;Senior;DevOps;Consul;3
Platform Engineer;Senior;DevOps;Docker;3
Platform Engineer;Senior;DevOps;Docker;4
Platform Engineer;Senior;DevOps;Gitlab CI/CD;3
Platform Engineer;Senior;DevOps;Gradle;3
Platform Engineer;Senior;DevOps;Grafana;3
Platform Engineer;Senior;DevOps;HashiCorp Vault;3
Platform Engineer;Senior;DevOps;Helm;3
Platform Engineer;Senior;DevOps;Java;3
Platform Engineer;Senior;DevOps;Jenkins;3
Platform Engineer;Senior;DevOps;Jenkins;4
Platform Engineer;Senior;DevOps;Kubernetes;3
Platform Engineer;Senior;DevOps;Linux;3
Platform Engineer;Senior;DevOps;Linux;4
Platform Engineer;Senior;DevOps;Nexus Repository;3
Platform Engineer;Senior;DevOps;Nginx;3
Platform Engineer;Senior;DevOps;NPM;3
Platform Engineer;Senior;DevOps;OpenShift;3
Platform Engineer;Senior;DevOps;PostgreSQL;3
Platform Engineer;Senior;DevOps;Prometheus;3
Platform Engineer;Senior;DevOps;React;3
Platform Engineer;Senior;DevOps;TeamCity;3
Platform Engineer;Senior;DevOps;Veracode;3
